,Index,Date,Open,High,Low,Close,Shares Traded,Turnover
239,NIFTY50,20190704,11928.8,11969.25,11923.65,11946.75,333595172,14758.87
240,NIFTY50,20190705,11964.75,11981.75,11797.9,11811.15,530720039,18871.99
241,NIFTY50,20190708,11770.4,11771.9,11523.3,11558.6,464029444,19146.25
242,NIFTY50,20190709,11531.6,11582.55,11461.0,11555.9,442520253,21577.95
243,NIFTY50,20190710,11536.15,11593.7,11475.65,11498.9,337571014,16098.53
244,NIFTY50,20190711,11561.45,11599.0,11519.5,11582.9,317257578,14586.2
245,NIFTY50,20190712,11601.15,11639.55,11538.6,11552.5,359421182,16947.57
246,NIFTY50,20190715,11614.75,11618.4,11532.3,11588.35,368788782,15835.99
247,NIFTY50,20190716,11596.65,11670.05,11573.95,11662.6,480156167,15967.91
248,NIFTY50,20190717,11670.75,11706.65,11651.15,11687.5,464827734,15250.5
249,NIFTY50,20190718,11675.6,11677.15,11582.4,11596.9,498258158,16684.03
250,NIFTY50,20190719,11627.95,11640.35,11399.3,11419.25,446049198,17326.4
251,NIFTY50,20190722,11392.85,11398.15,11301.25,11346.2,516044335,19304.23
252,NIFTY50,20190723,11372.25,11398.15,11302.8,11331.05,458931191,19199.32
253,NIFTY50,20190724,11322.45,11359.75,11229.8,11271.3,413202832,18353.13
254,NIFTY50,20190725,11290.4,11361.4,11239.35,11252.15,553676897,24329.21
255,NIFTY50,20190726,11247.45,11307.6,11210.05,11284.3,522670420,20350.38
256,NIFTY50,20190729,11307.5,11310.95,11152.4,11189.2,482862376,18705.92
257,NIFTY50,20190730,11213.7,11267.45,11072.65,11085.4,479059399,20545.71
258,NIFTY50,20190731,11034.05,11145.3,10999.4,11118.0,536694278,23681.22
259,NIFTY50,20190801,11060.2,11076.75,10881.0,10980.0,499918953,21048.32
260,NIFTY50,20190802,10930.3,11080.15,10848.95,10997.35,547416246,23972.04
261,NIFTY50,20190805,10895.8,10895.8,10782.6,10862.6,506556609,20824.1
262,NIFTY50,20190806,10815.4,11018.55,10813.8,10948.25,517891491,21676.4
263,NIFTY50,20190807,10958.1,10975.65,10835.9,10855.5,548465787,21228.28
264,NIFTY50,20190808,10899.2,11058.05,10842.95,11032.45,482471622,20667.6
265,NIFTY50,20190809,11087.9,11181.45,11062.8,11109.65,538063563,21092.05
266,NIFTY50,20190813,11139.4,11145.9,10901.6,10925.85,624634647,24790.67
267,NIFTY50,20190814,11003.25,11078.15,10935.6,11029.4,511541716,19712.81
268,NIFTY50,20190816,11043.65,11068.65,10924.3,11047.8,470909918,19281.91
269,NIFTY50,20190819,11094.8,11146.9,11037.85,11053.9,369493161,14120.35
270,NIFTY50,20190820,11063.9,11076.3,10985.3,11017.0,444715679,16915.96
271,NIFTY50,20190821,11018.15,11034.2,10906.65,10918.7,557867906,16747.99
272,NIFTY50,20190822,10905.3,10908.25,10718.3,10741.35,668193449,18764.38
273,NIFTY50,20190823,10699.6,10862.55,10637.15,10829.35,667079625,20983.75
274,NIFTY50,20190826,11000.3,11070.3,10756.55,11057.85,684141923,22375.99
275,NIFTY50,20190827,11106.55,11141.75,11049.5,11105.35,685551267,27413.16
276,NIFTY50,20190828,11101.3,11129.65,10987.65,11046.1,549954696,16739.43
277,NIFTY50,20190829,10996.05,11021.1,10922.4,10948.3,649876160,20127.77
278,NIFTY50,20190830,10987.8,11042.6,10874.8,11023.25,628154431,21057.31
279,NIFTY50,20190903,10960.95,10967.5,10772.7,10797.9,483038985,16595.6
280,NIFTY50,20190904,10790.4,10858.75,10746.35,10844.65,508784352,19195.1
281,NIFTY50,20190905,10860.95,10920.1,10816.0,10847.9,595699267,18279.88
282,NIFTY50,20190906,10883.8,10957.05,10867.45,10946.2,497214445,18167.78
283,NIFTY50,20190909,10936.7,11028.85,10889.8,11003.05,412471067,14762.07
284,NIFTY50,20190911,11028.5,11054.8,11011.65,11035.7,687140326,19550.59
285,NIFTY50,20190912,11058.3,11081.75,10964.95,10982.8,551436050,17510.17
286,NIFTY50,20190913,10986.8,11084.45,10945.75,11075.9,624305151,18012.76
287,NIFTY50,20190916,10994.85,11052.7,10968.2,11003.5,434449776,15786.17
288,NIFTY50,20190917,11000.1,11000.1,10796.5,10817.6,482013044,17721.93
289,NIFTY50,20190918,10872.8,10885.15,10804.85,10840.65,519155072,16784.43
290,NIFTY50,20190919,10845.2,10845.2,10670.25,10704.8,642599183,16642.83
291,NIFTY50,20190920,10746.8,11381.9,10691.0,11274.2,1356767450,54081.53
292,NIFTY50,20190923,11542.7,11694.85,11471.35,11600.2,882826741,40005.01
293,NIFTY50,20190924,11590.7,11655.05,11539.2,11588.2,651722255,26930.07
294,NIFTY50,20190925,11564.85,11564.95,11416.1,11440.2,629054640,25266.24
295,NIFTY50,20190926,11469.85,11610.85,11466.35,11571.2,844465614,30707.84
296,NIFTY50,20190927,11556.35,11593.6,11499.75,11512.4,650017280,19036.94
297,NIFTY50,20190930,11491.15,11508.25,11390.8,11474.45,756848686,23748.07
298,NIFTY50,20191001,11515.4,11554.2,11247.9,11359.9,1305415159,28972.72
299,NIFTY50,20191003,11322.25,11370.4,11257.35,11314.0,1017479514,21658.38
300,NIFTY50,20191004,11388.45,11400.3,11158.35,11174.75,928524450,22470.76
301,NIFTY50,20191007,11196.2,11233.85,11112.65,11126.4,733198763,18641.37
302,NIFTY50,20191009,11152.95,11321.6,11090.15,11313.3,741148639,20961.54
303,NIFTY50,20191010,11280.5,11293.35,11208.55,11234.55,562017945,19234.31
304,NIFTY50,20191011,11257.7,11362.9,11189.4,11305.05,737795150,22511.39
305,NIFTY50,20191014,11335.9,11420.45,11290.05,11341.15,587579191,17499.48
306,NIFTY50,20191015,11360.85,11462.35,11342.1,11428.3,527396180,17041.55
307,NIFTY50,20191016,11464.95,11481.05,11411.1,11464.0,533468525,18266.06
308,NIFTY50,20191017,11466.3,11599.1,11439.65,11586.35,797572398,20839.2
309,NIFTY50,20191018,11580.3,11684.7,11553.15,11661.85,853440208,22315.99
310,NIFTY50,20191022,11657.15,11714.35,11573.65,11588.35,867601307,29726.27
311,NIFTY50,20191023,11596.2,11651.6,11554.4,11604.1,664159887,23397.69
312,NIFTY50,20191024,11661.65,11679.6,11534.65,11582.6,700481662,25177.46
313,NIFTY50,20191025,11646.15,11646.9,11490.75,11583.9,812027840,23611.51
314,NIFTY50,20191027,11662.25,11672.4,11604.6,11627.15,161779004,3548.21
315,NIFTY50,20191029,11643.95,11809.4,11627.35,11786.85,951722529,27054.87
316,NIFTY50,20191030,11883.9,11883.95,11784.45,11844.1,725219760,22672.18
317,NIFTY50,20191031,11890.45,11945.0,11855.1,11877.45,1414837250,31304.73
318,NIFTY50,20191101,11886.6,11918.3,11843.35,11890.6,855338495,24933.55
319,NIFTY50,20191104,11928.9,11989.15,11905.35,11941.3,823050457,23203.88
320,NIFTY50,20191105,11974.6,11978.95,11861.9,11917.2,631952071,20995.88
321,NIFTY50,20191106,11911.5,12002.9,11850.25,11966.05,603351290,23324.97
322,NIFTY50,20191107,12021.1,12021.4,11946.85,12012.05,562963817,20898.24
323,NIFTY50,20191108,11987.15,12034.15,11888.75,11908.15,789254360,22931.52
324,NIFTY50,20191111,11879.2,11932.65,11853.95,11913.45,548979515,16548.47
325,NIFTY50,20191113,11908.3,11946.8,11823.2,11840.45,659035969,20401.5
326,NIFTY50,20191114,11858.75,11895.65,11802.65,11872.1,559494025,19114.86
